"integration_cluster","cell_type","cell_count"
4,"Any Cell",10
8,"Any Cell",21
9,"Any Cell",1
0,"B Cell",2
4,"B Cell",13
5,"B Cell",685
9,"B Cell",4
9,"B cell or Plasmablast",1
0,"Blood Cell",120
1,"Blood Cell",2
4,"Blood Cell",73
5,"Blood Cell",33
8,"Blood Cell",1
9,"Blood Cell",3
14,"Blood Cell",2
8,"CAFadi",8
10,"CAFadi",19
13,"CAFadi",1
8,"CAFinfla",16
10,"CAFinfla",54
8,"CAFmyo",4
10,"CAFmyo",44
8,"Cancer Associated Fibroblasts",15
10,"Cancer Associated Fibroblasts",1
0,"CD4 or CD8 T cell",77
1,"CD4 or CD8 T cell",78
4,"CD4 or CD8 T cell",6
9,"CD4 or CD8 T cell",7
0,"CD4+ T cell",476
1,"CD4+ T cell",12
4,"CD4+ T cell",16
5,"CD4+ T cell",1
9,"CD4+ T cell",3
0,"CD8 T or NK cell",7
1,"CD8 T or NK cell",27
6,"CD8 T or NK cell",5
9,"CD8 T or NK cell",1
0,"CD8+ T cell",53
1,"CD8+ T cell",157
5,"CD8+ T cell",1
6,"CD8+ T cell",2
9,"CD8+ T cell",16
9,"cDC1",3
11,"cDC1",14
9,"cDC2",2
11,"cDC2",34
11,"Dendritic Cell",1
0,"Effector/Memory CD4+ T cells",532
1,"Effector/Memory CD4+ T cells",134
4,"Effector/Memory CD4+ T cells",1
5,"Effector/Memory CD4+ T cells",1
9,"Effector/Memory CD4+ T cells",1
0,"Effector/Memory CD8+ T cells",164
1,"Effector/Memory CD8+ T cells",350
4,"Effector/Memory CD8+ T cells",6
5,"Effector/Memory CD8+ T cells",1
6,"Effector/Memory CD8+ T cells",16
9,"Effector/Memory CD8+ T cells",6
0,"Endothelial Cells",1
8,"Endothelial Cells",12
12,"Endothelial Cells",83
0,"Exhausted CD8+ T cells",6
1,"Exhausted CD8+ T cells",437
4,"Exhausted CD8+ T cells",1
5,"Exhausted CD8+ T cells",1
6,"Exhausted CD8+ T cells",8
9,"Exhausted CD8+ T cells",65
11,"LAMP3 cDC",18
0,"Lung Cancer Cell",2
8,"Lung Cancer Cell",59
13,"Lung Cancer Cell",61
0,"Macrophage",1
2,"Macrophage",111
3,"Macrophage",41
4,"Macrophage",335
5,"Macrophage",3
7,"Macrophage",130
8,"Macrophage",4
9,"Macrophage",12
11,"Macrophage",5
0,"Macrophage or Dendritic Cell",1
2,"Macrophage or Dendritic Cell",2
4,"Macrophage or Dendritic Cell",1
5,"Macrophage or Dendritic Cell",1
7,"Macrophage or Dendritic Cell",8
9,"Macrophage or Dendritic Cell",1
11,"Macrophage or Dendritic Cell",6
1,"MAIT cells",2
14,"Mast cell",41
0,"Naive CD4+ T cells",51
4,"Naive CD4+ T cells",26
0,"Naive CD8+ T cells",1
0,"Natural killer cell",8
1,"Natural killer cell",27
4,"Natural killer cell",3
6,"Natural killer cell",428
9,"Natural killer cell",5
4,"Non Blood Cell",1
8,"Non Blood Cell",36
13,"Non Blood Cell",2
8,"Non Stromal Cell",10
13,"Non Stromal Cell",3
8,"Normal Fibroblast",31
10,"Normal Fibroblast",2
8,"Normal Tissue Cell",6
8,"Pancreatic Cancer Cell",69
13,"Pancreatic Cancer Cell",1
1,"pDC",1
5,"pDC",3
15,"pDC",37
2,"Phagocytosis Macrophage",182
3,"Phagocytosis Macrophage",13
4,"Phagocytosis Macrophage",93
7,"Phagocytosis Macrophage",1
8,"Phagocytosis Macrophage",1
9,"Phagocytosis Macrophage",5
11,"Phagocytosis Macrophage",2
0,"Pro-angiogenesis Macrophage",6
2,"Pro-angiogenesis Macrophage",842
3,"Pro-angiogenesis Macrophage",742
4,"Pro-angiogenesis Macrophage",175
5,"Pro-angiogenesis Macrophage",10
6,"Pro-angiogenesis Macrophage",1
7,"Pro-angiogenesis Macrophage",112
8,"Pro-angiogenesis Macrophage",3
9,"Pro-angiogenesis Macrophage",32
11,"Pro-angiogenesis Macrophage",6
7,"Pro-inflammatory Macrophage",59
8,"Stromal Cell",8
10,"Stromal Cell",2
0,"T or NK Cell",8
1,"T or NK Cell",4
0,"T regulatory cells",182
1,"T regulatory cells",1
9,"T regulatory cells",9
0,"Tfh/Th1 helper CD4+ T cells",70
1,"Tfh/Th1 helper CD4+ T cells",22
8,"Tfh/Th1 helper CD4+ T cells",2
9,"Tfh/Th1 helper CD4+ T cells",5
14,"Tfh/Th1 helper CD4+ T cells",1
